city_id,name,latitude,longitude
3183875,Tirana,41.3275,19.81889
3184081,Shkodër,42.06828,19.51258
3184099,Shijak,41.34556,19.56722
3184197,Selenicë,40.53056,19.63583
3184252,Rrogozhinë,41.07639,19.66528
3184264,Rrëshen,41.7675,19.87556
3184290,Roskovec,40.7375,19.70222
3184388,Pukë,42.04444,19.89972
3184497,Peqin,41.04611,19.75111
3184517,Patos Fshat,40.64278,19.65083
3184806,Mamurras,41.5775,19.69222
3184862,Lushnjë,40.94194,19.705
3184935,Lezhë,41.78361,19.64361
3185012,Laç,41.63556,19.71306
3185060,Kuçovë,40.80028,19.91667
3185082,Krujë,41.50917,19.79278
3185211,Kavajë,41.18556,19.55694
3185270,Kamëz,41.38167,19.76028
3185638,Fushë-Krujë,41.47833,19.71778
3185670,Fier-Çifçi,40.71667,19.56667
3185672,Fier,40.72389,19.55611
3185728,Durrës,41.32306,19.44139
3185897,Cërrik,41.03167,19.97583
3186084,Berat,40.70583,19.95222
3186145,Ballsh,40.59889,19.73472
174710,Yeghegnadzor,39.76389,45.33239
174725,Vedi,39.91388,44.7251
174726,Vayk’,39.6889,45.46668
174875,Kapan,39.20755,46.40576
174895,Goris,39.51111,46.34168
174972,Hats’avan,39.46405,45.97047
174979,Artashat,39.96144,44.54447
174991,Ararat,39.83069,44.70569
616052,Yerevan,40.18111,44.51361
616062,Ejmiatsin,40.16557,44.29462
616065,Yeghvard,40.32507,44.48608
616108,Vardenis,40.18329,45.73053
616109,Vardenik,40.13348,45.44311
616178,Tashir,41.12072,44.28462
616194,Step’anavan,41.00995,44.38531
616199,Spitak,40.83221,44.26731
616250,Sevan,40.5473,44.94171
616255,Sarukhan,40.29169,45.13068
616328,Sardarapat,40.13206,44.00969
616333,Noyemberyan,41.17244,44.99917
616361,Noratus,40.37793,45.18048
616375,Nerk’in Getashen,40.14172,45.27087
616417,Metsamor,40.07233,44.29169
616435,Masis,40.06542,44.41618
616438,Martuni,40.13892,45.30548
616530,Vanadzor,40.80456,44.4939
616576,Karanlukh,40.10444,45.28972
616599,Gavarr,40.35398,45.12386
616627,Ijevan,40.87877,45.14851
616629,Hrazdan,40.49748,44.7662
616631,Armavir,40.15446,44.03815
616635,Gyumri,40.7942,43.84528
616697,Garrni,40.11931,44.73442
616752,Dilijan,40.7417,44.8501
616786,Chambarak,40.59655,45.35498
616790,Byureghavan,40.31417,44.59333
616802,Berd,40.88135,45.38901
616877,Ashtarak,40.2991,44.36204
616953,Aparan,40.59323,44.3589
616974,Alaverdi,41.09766,44.67316
616989,Akhuryan,40.78003,43.90027
617026,Abovyan,40.27368,44.63348
145531,Saurimo,-9.66078,20.39155
145724,Lucapa,-8.41915,20.74466
876177,Luau,-10.70727,22.22466
876233,Léua,-11.65,20.45
2236568,Uíge,-7.60874,15.06131
2236967,Soio,-6.1349,12.36894
2239001,Nzeto,-7.23116,12.8666
2239076,N’dalatando,-9.29782,14.91162
2239520,Mbanza Congo,-6.26703,14.2401
2239862,Malanje,-9.54015,16.34096
2240449,Luanda,-8.83682,13.23432
2242001,Caxito,-8.57848,13.66425
2242885,Camabatela,-8.18812,15.37495
2243271,Cabinda,-5.55,12.2
3345497,Uacu Cungo,-11.35669,15.11719
3346015,Sumbe,-11.20605,13.84371
3346598,Quibala,-10.73366,14.97995
3346821,Ondjiva,-17.06667,15.73333
3347019,Namibe,-15.19611,12.15222
3347353,Menongue,-14.6585,17.69099
3347719,Luena,-11.78333,19.91667
3347762,Lubango,-14.91717,13.4925
3347853,Longonjo,-12.90667,15.25333
3347939,Lobito,-12.3644,13.53601
3348078,Cuito,-12.38333,16.93333
3348313,Huambo,-12.77611,15.73917
3349580,Chissamba,-12.16667,17.33333
3350246,Catumbela,-12.43002,13.54677
3350372,Catabola,-12.15,17.28333
3351014,Camacupa,-12.01667,17.48333
3351024,Caluquembe,-13.78333,14.68333
3351380,Caconda,-13.73333,15.06667
3351500,Caála,-12.8525,15.56056
3351663,Benguela,-12.57626,13.40547
9376229,Chela,-12.30261,15.43358
3427213,Zárate,-34.09814,-59.02858
3427388,Villa Ocampo,-28.48752,-59.35515
3427399,Villa María Grande,-31.66565,-59.90182
